direction,entry_time,entry_price,exit_time,exit_price,pnl_points,exit_reason
SHORT,2024-01-26 13:10:00,22123.583097748397,2024-01-26 13:55:00,22138.583097748397,-15.0,SL
SHORT,2024-01-29 09:20:00,22112.49999465672,2024-01-29 11:00:00,22089.99999465672,22.5,TARGET
LONG,2024-01-29 11:15:00,22095.79382702524,2024-01-29 11:30:00,22080.79382702524,-15.0,SL
LONG,2024-01-31 10:40:00,21821.27236467909,2024-01-31 11:30:00,21806.27236467909,-15.0,SL
SHORT,2024-02-02 14:55:00,21440.595807635415,2024-02-02 15:00:00,21418.095807635415,22.5,TARGET
SHORT,2024-02-05 13:10:00,21301.94831084086,2024-02-05 13:50:00,21279.44831084086,22.5,TARGET
LONG,2024-02-07 10:30:00,21058.410338360973,2024-02-07 10:40:00,21043.410338360973,-15.0,SL
SHORT,2024-02-09 09:15:00,20824.43881920856,2024-02-09 09:40:00,20801.93881920856,22.5,TARGET
SHORT,2024-02-09 13:05:00,20870.88402603037,2024-02-09 13:10:00,20885.88402603037,-15.0,SL
SHORT,2024-02-09 14:00:00,20920.294123428368,2024-02-09 14:20:00,20897.794123428368,22.5,TARGET
LONG,2024-02-09 14:35:00,20919.67164973076,2024-02-09 14:40:00,20942.17164973076,22.5,TARGET
SHORT,2024-02-09 14:50:00,20917.252385096577,2024-02-09 15:00:00,20932.252385096577,-15.0,SL
SHORT,2024-02-12 09:15:00,20930.49575941079,2024-02-12 09:30:00,20907.99575941079,22.5,TARGET
LONG,2024-02-12 11:00:00,20845.92281417157,2024-02-12 11:30:00,20830.92281417157,-15.0,SL
LONG,2024-02-12 11:50:00,20840.043010477348,2024-02-12 12:00:00,20825.043010477348,-15.0,SL
SHORT,2024-02-14 14:10:00,21109.314845977027,2024-02-14 14:35:00,21124.314845977027,-15.0,SL
SHORT,2024-02-15 14:35:00,21057.396233621406,2024-02-15 14:45:00,21034.896233621406,22.5,TARGET
SHORT,2024-02-16 10:45:00,21030.375623509302,2024-02-16 10:55:00,21045.375623509302,-15.0,SL
SHORT,2024-02-16 11:00:00,21029.47656653991,2024-02-16 11:15:00,21044.47656653991,-15.0,SL
SHORT,2024-02-16 11:20:00,21036.53906909533,2024-02-16 11:50:00,21014.03906909533,22.5,TARGET
LONG,2024-02-16 13:10:00,21000.307930115217,2024-02-16 13:15:00,20985.307930115217,-15.0,SL
SHORT,2024-02-16 14:20:00,20978.06726065488,2024-02-16 15:20:00,20990.776790050128,-12.709529395247955,EOD
SHORT,2024-02-19 09:15:00,20966.417252751457,2024-02-19 09:25:00,20981.417252751457,-15.0,SL
SHORT,2024-02-19 10:35:00,21016.698313498484,2024-02-19 11:35:00,21031.698313498484,-15.0,SL
SHORT,2024-02-19 11:50:00,21030.34768924437,2024-02-19 12:15:00,21045.34768924437,-15.0,SL
SHORT,2024-02-19 12:20:00,21035.473155094216,2024-02-19 12:50:00,21012.973155094216,22.5,TARGET
SHORT,2024-02-19 13:40:00,21033.94126659504,2024-02-19 13:55:00,21048.94126659504,-15.0,SL
SHORT,2024-02-19 14:05:00,21024.490661909807,2024-02-19 14:15:00,21039.490661909807,-15.0,SL
SHORT,2024-02-19 15:00:00,21034.11031514774,2024-02-19 15:15:00,21049.11031514774,-15.0,SL
SHORT,2024-02-20 10:25:00,21006.983233437597,2024-02-20 11:10:00,21021.983233437597,-15.0,SL
SHORT,2024-02-20 11:30:00,21018.517825696585,2024-02-20 11:45:00,21033.517825696585,-15.0,SL
SHORT,2024-02-20 12:35:00,21013.1656063539,2024-02-20 12:40:00,21028.1656063539,-15.0,SL
LONG,2024-02-21 12:00:00,20972.3234646846,2024-02-21 12:30:00,20994.8234646846,22.5,TARGET
SHORT,2024-02-21 13:35:00,20967.818815522154,2024-02-21 14:20:00,20982.818815522154,-15.0,SL
SHORT,2024-02-21 14:35:00,20966.996037086235,2024-02-21 14:50:00,20981.996037086235,-15.0,SL
LONG,2024-02-23 12:55:00,21223.60904516372,2024-02-23 15:05:00,21246.10904516372,22.5,TARGET
SHORT,2024-02-26 10:45:00,21241.838347426907,2024-02-26 11:00:00,21256.838347426907,-15.0,SL
SHORT,2024-02-26 12:25:00,21244.87892115052,2024-02-26 12:40:00,21222.37892115052,22.5,TARGET
SHORT,2024-02-26 12:50:00,21229.53780258385,2024-02-26 12:55:00,21207.03780258385,22.5,TARGET
SHORT,2024-02-26 14:50:00,21111.720001005266,2024-02-26 14:55:00,21126.720001005266,-15.0,SL
LONG,2024-02-27 14:00:00,21028.838349465783,2024-02-27 14:05:00,21013.838349465783,-15.0,SL
LONG,2024-02-27 14:25:00,21022.44542460668,2024-02-27 14:30:00,21007.44542460668,-15.0,SL
LONG,2024-02-27 14:35:00,21021.30788786545,2024-02-27 14:50:00,21006.30788786545,-15.0,SL
LONG,2024-02-28 11:15:00,20978.015569697745,2024-02-28 11:40:00,21000.515569697745,22.5,TARGET
LONG,2024-02-28 12:10:00,20973.34790233819,2024-02-28 12:20:00,20995.84790233819,22.5,TARGET
LONG,2024-02-28 12:55:00,20977.902697333877,2024-02-28 13:05:00,21000.402697333877,22.5,TARGET
LONG,2024-02-29 09:50:00,21010.84946952251,2024-02-29 09:55:00,20995.84946952251,-15.0,SL
LONG,2024-02-29 10:10:00,21009.48412630899,2024-02-29 10:25:00,21031.98412630899,22.5,TARGET
LONG,2024-02-29 11:55:00,21006.46494930495,2024-02-29 12:20:00,20991.46494930495,-15.0,SL
LONG,2024-02-29 12:25:00,21013.38216139409,2024-02-29 13:30:00,20998.38216139409,-15.0,SL
SHORT,2024-02-29 14:50:00,21078.07280970592,2024-02-29 14:55:00,21093.07280970592,-15.0,SL
LONG,2024-03-01 10:30:00,21070.561838020007,2024-03-01 10:50:00,21093.061838020007,22.5,TARGET
LONG,2024-03-01 12:15:00,21073.70226562863,2024-03-01 12:30:00,21096.20226562863,22.5,TARGET
LONG,2024-03-01 14:45:00,21031.275071129952,2024-03-01 15:05:00,21053.775071129952,22.5,TARGET
SHORT,2024-03-04 09:45:00,21069.15398355209,2024-03-04 09:55:00,21084.15398355209,-15.0,SL
LONG,2024-03-05 13:05:00,21138.203735574654,2024-03-05 13:15:00,21123.203735574654,-15.0,SL
SHORT,2024-03-06 09:50:00,21166.5572356909,2024-03-06 10:10:00,21144.0572356909,22.5,TARGET
SHORT,2024-03-06 12:50:00,21086.07444077537,2024-03-06 13:10:00,21063.57444077537,22.5,TARGET
LONG,2024-03-06 14:10:00,21053.63487840869,2024-03-06 14:25:00,21038.63487840869,-15.0,SL
LONG,2024-03-07 12:20:00,20847.95584564616,2024-03-07 12:45:00,20870.45584564616,22.5,TARGET
LONG,2024-03-08 11:15:00,20925.58242131812,2024-03-08 11:20:00,20910.58242131812,-15.0,SL
LONG,2024-03-08 13:50:00,20846.82650311132,2024-03-08 14:00:00,20869.32650311132,22.5,TARGET
SHORT,2024-03-11 10:20:00,20807.7733140024,2024-03-11 10:55:00,20822.7733140024,-15.0,SL
LONG,2024-03-11 12:55:00,20862.753263750907,2024-03-11 13:15:00,20885.253263750907,22.5,TARGET
LONG,2024-03-12 12:40:00,20926.963858473297,2024-03-12 13:45:00,20911.963858473297,-15.0,SL
LONG,2024-03-12 13:55:00,20927.48539244515,2024-03-12 14:00:00,20912.48539244515,-15.0,SL
LONG,2024-03-12 14:35:00,20925.910001599605,2024-03-12 15:20:00,20910.396469557847,-15.513532041757571,EOD
SHORT,2024-03-13 10:35:00,20943.77096123293,2024-03-13 10:55:00,20958.77096123293,-15.0,SL
SHORT,2024-03-13 11:10:00,20945.18757606658,2024-03-13 11:30:00,20922.68757606658,22.5,TARGET
LONG,2024-03-13 12:10:00,20929.902075978203,2024-03-13 13:25:00,20952.402075978203,22.5,TARGET
SHORT,2024-03-13 13:50:00,20941.593294254904,2024-03-13 14:20:00,20919.093294254904,22.5,TARGET
SHORT,2024-03-14 11:40:00,20887.08991983918,2024-03-14 11:50:00,20902.08991983918,-15.0,SL
LONG,2024-03-14 12:20:00,20903.737553038107,2024-03-14 12:30:00,20926.237553038107,22.5,TARGET
LONG,2024-03-14 14:15:00,20951.2974108153,2024-03-14 14:30:00,20936.2974108153,-15.0,SL
LONG,2024-03-14 14:40:00,20956.716508281675,2024-03-14 15:05:00,20979.216508281675,22.5,TARGET
SHORT,2024-03-15 11:05:00,21002.106677983185,2024-03-15 11:15:00,21017.106677983185,-15.0,SL
SHORT,2024-03-15 11:35:00,21000.36045044881,2024-03-15 11:55:00,20977.86045044881,22.5,TARGET
LONG,2024-03-15 13:30:00,20942.878426968404,2024-03-15 13:35:00,20927.878426968404,-15.0,SL
LONG,2024-03-15 13:45:00,20936.121047471705,2024-03-15 14:15:00,20921.121047471705,-15.0,SL
SHORT,2024-03-15 14:20:00,20917.86583987849,2024-03-15 14:55:00,20932.86583987849,-15.0,SL
LONG,2024-03-15 15:00:00,20940.18878606966,2024-03-15 15:20:00,20942.53148503269,2.34269896303158,EOD
SHORT,2024-03-15 15:25:00,20925.256024059145,2024-03-18 09:15:00,20925.256024059145,-0.0,EOD
LONG,2024-03-20 11:20:00,20581.954867653367,2024-03-20 11:55:00,20604.454867653367,22.5,TARGET
SHORT,2024-03-20 14:00:00,20614.439302111117,2024-03-20 14:10:00,20629.439302111117,-15.0,SL
LONG,2024-03-20 14:20:00,20622.154772032583,2024-03-20 14:25:00,20607.154772032583,-15.0,SL
SHORT,2024-03-21 11:20:00,20580.333140657516,2024-03-21 11:30:00,20595.333140657516,-15.0,SL
SHORT,2024-03-21 13:50:00,20640.973790276526,2024-03-21 14:00:00,20655.973790276526,-15.0,SL
SHORT,2024-03-21 14:55:00,20646.249774748037,2024-03-21 15:10:00,20661.249774748037,-15.0,SL
LONG,2024-03-22 12:20:00,20786.84454906585,2024-03-22 12:55:00,20809.34454906585,22.5,TARGET
LONG,2024-03-22 15:25:00,20861.44037951979,2024-03-25 09:15:00,20861.44037951979,0.0,EOD
LONG,2024-03-26 12:40:00,20923.7441706322,2024-03-26 12:50:00,20946.2441706322,22.5,TARGET
LONG,2024-03-26 14:15:00,20977.829590198544,2024-03-26 14:25:00,21000.329590198544,22.5,TARGET
LONG,2024-03-27 14:00:00,20889.130192423527,2024-03-27 14:05:00,20874.130192423527,-15.0,SL
LONG,2024-03-27 14:20:00,20880.4032732006,2024-03-27 14:35:00,20865.4032732006,-15.0,SL
LONG,2024-03-27 14:55:00,20889.24018264805,2024-03-27 15:20:00,20896.36637395396,7.126191305909742,EOD
SHORT,2024-03-28 12:40:00,20902.64015859396,2024-03-28 12:55:00,20917.64015859396,-15.0,SL
SHORT,2024-03-28 13:05:00,20900.95655987997,2024-03-28 13:30:00,20878.45655987997,22.5,TARGET
LONG,2024-03-28 15:10:00,20836.977834512865,2024-03-28 15:20:00,20834.090174796613,-2.8876597162525286,EOD
SHORT,2024-03-29 10:50:00,20878.64379954143,2024-03-29 11:20:00,20856.14379954143,22.5,TARGET
SHORT,2024-03-29 15:20:00,20967.617220613687,2024-03-29 15:25:00,20972.96054582387,-5.343325210182229,EOD
LONG,2024-03-29 15:25:00,20972.96054582387,2024-04-01 09:15:00,20972.96054582387,0.0,EOD
SHORT,2024-04-01 13:40:00,21090.92502638531,2024-04-01 14:00:00,21068.42502638531,22.5,TARGET
LONG,2024-04-02 14:40:00,21074.465996784824,2024-04-02 14:55:00,21059.465996784824,-15.0,SL
LONG,2024-04-02 15:15:00,21069.971519771425,2024-04-02 15:20:00,21073.913483315944,3.94196354451924,EOD
LONG,2024-04-04 09:35:00,21109.53413391472,2024-04-04 10:00:00,21094.53413391472,-15.0,SL
SHORT,2024-04-04 11:15:00,21147.144410217054,2024-04-04 11:50:00,21162.144410217054,-15.0,SL
LONG,2024-04-04 14:20:00,21172.895339837272,2024-04-04 15:00:00,21195.395339837272,22.5,TARGET
SHORT,2024-04-05 14:25:00,21099.311474273767,2024-04-05 14:45:00,21076.811474273767,22.5,TARGET
LONG,2024-04-05 15:00:00,21104.613895257797,2024-04-05 15:10:00,21127.113895257797,22.5,TARGET
SHORT,2024-04-08 09:25:00,21106.02152284453,2024-04-08 09:55:00,21121.02152284453,-15.0,SL
SHORT,2024-04-09 10:25:00,21029.61650720295,2024-04-09 10:55:00,21007.11650720295,22.5,TARGET
LONG,2024-04-10 14:25:00,20919.020724792572,2024-04-10 14:35:00,20904.020724792572,-15.0,SL
LONG,2024-04-10 14:50:00,20915.625809598376,2024-04-10 15:00:00,20900.625809598376,-15.0,SL
LONG,2024-04-10 15:10:00,20914.108353767017,2024-04-10 15:15:00,20899.108353767017,-15.0,SL
LONG,2024-04-10 15:20:00,20908.0269751094,2024-04-10 15:25:00,20905.109339427498,-2.9176356819007196,EOD
SHORT,2024-04-10 15:25:00,20905.109339427498,2024-04-11 09:15:00,20905.109339427498,-0.0,EOD
SHORT,2024-04-11 14:25:00,20960.73169335256,2024-04-11 15:00:00,20975.73169335256,-15.0,SL
SHORT,2024-04-12 12:05:00,21044.015940267516,2024-04-12 12:20:00,21059.015940267516,-15.0,SL
SHORT,2024-04-12 13:50:00,21101.79410541477,2024-04-12 14:15:00,21116.79410541477,-15.0,SL
LONG,2024-04-15 11:25:00,21092.824027734685,2024-04-15 11:45:00,21077.824027734685,-15.0,SL
LONG,2024-04-17 09:55:00,21126.424513045127,2024-04-17 10:15:00,21148.924513045127,22.5,TARGET
LONG,2024-04-17 10:40:00,21139.874913711326,2024-04-17 10:50:00,21162.374913711326,22.5,TARGET
SHORT,2024-04-19 09:50:00,21362.652485153227,2024-04-19 10:00:00,21340.152485153227,22.5,TARGET
SHORT,2024-04-19 15:10:00,21297.09409110397,2024-04-19 15:15:00,21274.59409110397,22.5,TARGET
SHORT,2024-04-22 10:20:00,21314.707738158988,2024-04-22 10:40:00,21329.707738158988,-15.0,SL
SHORT,2024-04-22 13:05:00,21322.512042093636,2024-04-22 13:10:00,21337.512042093636,-15.0,SL
LONG,2024-04-22 14:25:00,21360.179771484844,2024-04-22 14:50:00,21382.679771484844,22.5,TARGET
SHORT,2024-04-23 10:35:00,21431.981670655336,2024-04-23 11:15:00,21409.481670655336,22.5,TARGET
SHORT,2024-04-23 12:55:00,21460.0564779468,2024-04-23 13:10:00,21475.0564779468,-15.0,SL
LONG,2024-04-24 09:15:00,21455.8521999328,2024-04-24 10:15:00,21440.8521999328,-15.0,SL
LONG,2024-04-24 11:05:00,21472.96983383764,2024-04-24 11:25:00,21457.96983383764,-15.0,SL
LONG,2024-04-24 11:40:00,21460.52561107866,2024-04-24 11:45:00,21445.52561107866,-15.0,SL
LONG,2024-04-24 12:15:00,21444.92737271341,2024-04-24 12:35:00,21467.42737271341,22.5,TARGET
SHORT,2024-04-24 12:40:00,21435.432813196745,2024-04-24 12:50:00,21450.432813196745,-15.0,SL
SHORT,2024-04-25 10:40:00,21549.27287033587,2024-04-25 10:50:00,21564.27287033587,-15.0,SL
LONG,2024-04-25 11:25:00,21576.220994756382,2024-04-25 11:55:00,21561.220994756382,-15.0,SL
SHORT,2024-04-25 14:05:00,21547.95742117229,2024-04-25 14:10:00,21562.95742117229,-15.0,SL
SHORT,2024-04-26 09:20:00,21580.123127821105,2024-04-26 09:30:00,21595.123127821105,-15.0,SL
LONG,2024-04-26 11:20:00,21566.892809388544,2024-04-26 11:35:00,21551.892809388544,-15.0,SL
LONG,2024-04-26 12:10:00,21548.396687851306,2024-04-26 12:30:00,21570.896687851306,22.5,TARGET
SHORT,2024-04-29 09:35:00,21539.572156836944,2024-04-29 09:40:00,21554.572156836944,-15.0,SL
LONG,2024-04-29 12:25:00,21654.31877910844,2024-04-29 12:35:00,21639.31877910844,-15.0,SL
LONG,2024-04-30 11:50:00,21767.56901059344,2024-04-30 11:55:00,21752.56901059344,-15.0,SL
LONG,2024-04-30 12:05:00,21771.30371616569,2024-04-30 13:10:00,21793.80371616569,22.5,TARGET
LONG,2024-04-30 14:50:00,21765.879059918625,2024-04-30 15:05:00,21750.879059918625,-15.0,SL
LONG,2024-04-30 15:20:00,21760.66888130223,2024-04-30 15:25:00,21754.82929040276,-5.839590899471659,EOD
SHORT,2024-04-30 15:25:00,21754.82929040276,2024-05-01 09:15:00,21754.82929040276,-0.0,EOD
LONG,2024-05-01 10:10:00,21762.61068766544,2024-05-01 10:40:00,21785.11068766544,22.5,TARGET
SHORT,2024-05-01 12:50:00,21841.391163963694,2024-05-01 13:00:00,21818.891163963694,22.5,TARGET
LONG,2024-05-01 15:00:00,21761.55297701745,2024-05-01 15:05:00,21746.55297701745,-15.0,SL
LONG,2024-05-02 13:30:00,21696.303069800146,2024-05-02 13:35:00,21681.303069800146,-15.0,SL
LONG,2024-05-02 14:15:00,21688.46920785425,2024-05-02 14:45:00,21673.46920785425,-15.0,SL
LONG,2024-05-02 14:50:00,21689.232201456784,2024-05-02 15:00:00,21674.232201456784,-15.0,SL
LONG,2024-05-02 15:05:00,21688.70246075184,2024-05-02 15:20:00,21684.0976143729,-4.604846378941147,EOD
SHORT,2024-05-03 13:20:00,21685.01638445729,2024-05-03 13:35:00,21700.01638445729,-15.0,SL
SHORT,2024-05-03 13:40:00,21692.15345085288,2024-05-03 13:50:00,21707.15345085288,-15.0,SL
